Product_ID,Product_Name,Catagory,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Date_Received,Last_Order_Date,Expiration_Date,Warehouse_Location,Sales_Volume,Inventory_Turnover_Rate,Status,Days_Since_Last_Order,Stock_to_Reorder_Ratio,Is_Backordered,Baseline_Sales,Predicted_Sales,Baseline_Reorder,Predicted_Reorder,Revenue,Cost_Price,Cost,Profit,Restock_Urgency
29-205-1132,Sushi Rice,Grains & Pulses,38-037-1699,Jaxnation,22,72,70,4.5,2024-08-16,2024-06-29,2024-09-19,48 Del Sol Trail,32,19,Discontinued,291,0.3013698630136986,0,,,,,,2.475,,,
40-681-9981,Arabica Coffee,Beverages,54-470-2479,Feedmix,45,77,2,20.0,2024-11-01,2024-05-29,2024-05-08,36 3rd Place,85,1,Discontinued,322,0.5769230769230769,0,,,,,,11.0,,,
06-955-3428,Black Rice,Grains & Pulses,54-031-2945,Vinder,30,38,83,6.0,2024-08-03,2024-06-10,2024-09-22,3296 Walton Court,31,34,Backordered,310,0.7692307692307693,1,,,,,,3.3000000000000003,,,
71-594-6552,Long Grain Rice,Grains & Pulses,63-492-7603,Brightbean,12,59,62,1.5,2024-12-08,2025-02-19,2024-04-17,3 Westerfield Crossing,95,99,Active,56,0.2,0,,,,,,0.8250000000000001,,,
57-437-1828,Plum,Fruits & Vegetables,54-226-4308,Topicstorm,37,30,74,4.0,2024-07-03,2024-10-11,2024-10-05,15068 Scoville Court,62,25,Backordered,187,1.1935483870967742,1,,,,,,2.2,,,
21-120-6238,All-Purpose Flour,Grains & Pulses,86-292-4587,Dabjam,55,33,14,1.75,2024-12-03,2024-05-26,2024-09-05,050 Mcbride Avenue,34,62,Discontinued,325,1.6176470588235294,0,,,,,,0.9625000000000001,,,
71-516-1996,Corn Oil,Oils & Fats,04-391-7610,Tagfeed,96,52,16,2.5,2024-03-18,2024-05-07,2024-06-20,12 Truax Court,67,13,Active,344,1.8113207547169812,0,,,,,,1.375,,,
39-629-5554,Egg (Goose),Dairy,67-679-4930,Muxo,44,90,17,2.5,2025-02-03,2024-04-09,2025-02-05,267 International Plaza,21,91,Discontinued,372,0.4835164835164835,0,,,,,,1.375,,,
66-268-8345,Greek Yogurt,Dairy,32-182-1895,Thoughtstorm,91,84,11,3.0,2024-12-04,2024-06-02,2025-01-08,550 Clemons Plaza,56,90,Active,318,1.0705882352941176,0,,,,,,1.6500000000000001,,,
46-452-9419,Egg (Duck),Dairy,67-137-4215,Wordify,43,10,15,1.0,2024-11-18,2024-11-14,2024-07-08,55782 Welch Hill,27,69,Active,153,3.909090909090909,0,,,,,,0.55,,,
51-469-4611,Long Grain Rice,Grains & Pulses,62-029-0827,Fivebridge,62,81,91,1.6,2024-12-18,2024-05-24,2025-01-07,04776 Saint Paul Park,100,42,Discontinued,327,0.7560975609756098,0,58.543771043771045,59.45219203108698,52.61784511784512,53.257929567681416,95.12350724973918,0.8800000000000001,46.86697801955965,48.256529230179524,78.45219203108698
42-220-9305,White Sugar,Grains & Pulses,56-092-7992,Zooxo,91,98,6,2.0,2024-10-19,2024-12-11,2024-10-14,61932 Cascade Crossing,100,20,Backordered,126,0.9191919191919192,1,,,,,,1.1,,,
75-094-1179,Rye Bread,Bakery,57-615-0729,Vitz,26,79,31,3.0,2024-12-13,2025-02-09,2024-07-18,13 Forest Run Place,47,41,Discontinued,66,0.325,0,,,,,,1.6500000000000001,,,
11-073-0189,Plum,Fruits & Vegetables,75-190-3627,Voomm,95,50,76,4.0,2024-04-05,2024-09-21,2024-05-06,5104 Jana Court,69,5,Active,207,1.8627450980392157,0,,,,,,2.2,,,
22-621-2774,Strawberries,Fruits & Vegetables,70-901-6191,Babblestorm,54,26,16,6.0,2024-03-11,2024-06-30,2024-06-14,00 Drewry Court,63,97,Active,290,2.0,0,,,,,,3.3000000000000003,,,
